Date,Month,Year,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
01/2008,01,2008,4930902570,4930902570,,,,
02/2008,02,2008,4818393763,4818393763,,,,
03/2008,03,2008,4955405809,4955405809,,,,
04/2008,04,2008,5159162183,5159162183,,,,
05/2008,05,2008,5584691092,5584691092,,,,
06/2008,06,2008,5712104279,5712104279,,,,
07/2008,07,2008,5306302874,5306302874,,,,
08/2008,08,2008,5140155519,5140155519,,,,
09/2008,09,2008,5479533823,5479533823,,,,
10/2008,10,2008,5679440782,5679440782,,,,
11/2008,11,2008,5415832071,5415832071,,,,
12/2008,12,2008,5211708451,5211708451,,,,
01/2009,01,2009,5802681551,5802681551,,,,
02/2009,02,2009,5547320860,5547320860,,,,
03/2009,03,2009,6295159057,6295159057,,,,
04/2009,04,2009,5988817321,5988817321,,,,
05/2009,05,2009,6267516733,6267516733,,,,
06/2009,06,2009,5818924182,5818924182,,,,
07/2009,07,2009,5801646978,5801646978,,,,
08/2009,08,2009,5790850384,5790850384,,,,
09/2009,09,2009,4057515768,4057515768,,,,
10/2009,10,2009,6016107147,6016107147,,,,
11/2009,11,2009,5768486910,5768486910,,,,
12/2009,12,2009,5426505977,5426505977,,,,
01/2010,01,2010,5703465285,5703465285,,,,
02/2010,02,2010,5762451418,5762451418,,,,
03/2010,03,2010,6661347946,6661347946,,,,
04/2010,04,2010,6618552152,6618552152,,,,
05/2010,05,2010,6410578775,6410578775,,,,
06/2010,06,2010,4898035014,4898035014,,,,
07/2010,07,2010,5296177638,5296177638,,,,
08/2010,08,2010,7381346660,7381346660,,,,
09/2010,09,2010,7546488744,7546488744,,,,
10/2010,10,2010,10172844562,10172844562,,,,
11/2010,11,2010,6948678354,6948678354,,,,
12/2010,12,2010,7001952100,7001952100,,,,
01/2011,01,2011,7568511227,7568511227,,,,
02/2011,02,2011,6906248849,6906248849,,,,
03/2011,03,2011,7326545928,7326545928,,,,
04/2011,04,2011,6835492088,6835492088,,,,
05/2011,05,2011,7009799378,7009799378,,,,
06/2011,06,2011,6536675534,6536675534,,,,
07/2011,07,2011,6571730164,6571730164,,,,
08/2011,08,2011,6514500361,6514500361,,,,
09/2011,09,2011,5837738935,5837738935,,,,
10/2011,10,2011,6974424665,6974424665,,,,
11/2011,11,2011,7507641641,7507641641,,,,
12/2011,12,2011,6396357939,6396357939,,,,
01/2012,01,2012,7808477339,7808477339,,,,
02/2012,02,2012,7530127141,7530127141,,,,
03/2012,03,2012,7358543625,7358543625,,,,
04/2012,04,2012,7220029422,7220029422,,,,
05/2012,05,2012,7784479302,7784479302,,,,
06/2012,06,2012,7524265988,7524265988,,,,
07/2012,07,2012,7819376527,7819376527,,,,
08/2012,08,2012,7885641059,7885641059,,,,
09/2012,09,2012,7913689733,7913689733,,,,
10/2012,10,2012,8379960050,8379960050,,,,
11/2012,11,2012,8219987195,8219987195,,,,
12/2012,12,2012,8033826900,8033826900,,,,
01/2013,01,2013,9126210673,9126210673,,,,
02/2013,02,2013,8100597857,8100597857,,,,
03/2013,03,2013,8701419671,8701419671,,,,
04/2013,04,2013,8049296729,8049296729,,,,
